config_name,num_robots,seed,tasks_created,tasks_completed,tasks_failed,completion_rate,throughput_tps,avg_latency_s,p50_latency_s,p90_latency_s,p99_latency_s,agent_utilization,t_claim_ms_mean,t_claim_ms_p95,aoi_ms_mean,aoi_ms_p95
iso_2robots,2,1,5,5,0,1.0,0.0136,97.21,91.84,118.37,128.62,0.3082,26.5,34.06,20.7,25.9
iso_2robots,2,7,11,7,0,0.6364,0.019,111.46,78.62,197.25,241.19,0.4903,25.2,33.66,21.0,26.0
iso_2robots,2,42,7,5,0,0.7143,0.0136,81.2,85.06,87.17,87.77,0.342,25.69,32.01,20.8,25.0
iso_4robots,4,1,9,9,0,1.0,0.0245,75.75,75.06,85.26,90.49,0.2782,26.53,34.76,21.1,26.0
iso_4robots,4,7,13,13,0,1.0,0.0353,106.92,92.05,164.45,184.03,0.4023,27.6,34.58,21.1,26.0
iso_4robots,4,42,12,11,0,0.9167,0.0298,107.61,99.86,144.18,172.93,0.3552,28.01,34.56,20.9,25.0
iso_8robots,8,1,17,17,0,1.0,0.0461,72.42,77.74,86.73,89.43,0.2627,28.08,36.97,21.3,26.0
iso_8robots,8,7,24,22,0,0.9167,0.0596,85.74,83.93,105.84,136.49,0.365,29.28,36.29,21.2,26.0
iso_8robots,8,42,22,22,0,1.0,0.0596,87.61,80.26,130.35,151.32,0.3393,27.92,36.36,21.2,26.0
