num_robots,n_seeds,completion_rate_mean,completion_rate_sd,throughput_tps_mean,throughput_tps_sd,avg_latency_s_mean,avg_latency_s_sd,p50_latency_s_mean,p50_latency_s_sd,p90_latency_s_mean,p90_latency_s_sd,p99_latency_s_mean,p99_latency_s_sd,agent_utilization_mean,agent_utilization_sd,t_claim_ms_mean_mean,t_claim_ms_mean_sd,aoi_ms_mean_mean,aoi_ms_mean_sd,tasks_completed_mean,tasks_completed_sd,tasks_created_mean,tasks_created_sd
2,3,0.7836,0.1914,0.0154,0.0031,97.35,14.5251,85.2667,6.0415,137.3867,53.4106,155.35,76.3456,0.3691,0.1039,4.47,0.9722,0.0,0.0,5.6667,1.1547,7.6667,3.0551
4,3,0.9722,0.0481,0.0299,0.0054,97.0933,16.2074,86.7067,8.177,147.9533,52.2357,172.6267,69.1581,0.3463,0.0629,5.6067,1.0661,0.0,0.0,11.0,2.0,11.3333,2.0817
8,3,1.0,0.0,0.0569,0.0096,81.54,2.933,79.7567,3.5531,100.6033,8.4386,114.6567,18.1393,0.3235,0.0546,4.4133,0.7826,0.0,0.0,21.0,3.6056,21.0,3.6056
